annotation_id,source_group,pool_used,domain,grant_domain,arxiv_domain,domain_pair,year_segment,similarity_band,grant_year,grant_id,arxiv_id,similarity,delta_t_days,temporal_ok,topic_ok,review_notes,grant_posted_date,arxiv_submitted_date,grant_title,grant_description,arxiv_title,arxiv_abstract,negative_combo
GS_001,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,high,2012,168013,2006.05092,0.3978,-2965,0,,,2012-04-27,2020-06-09,Predictive Lung Deposition Models for Safety and Efficacy of Orally Inhaled Drug Products (U01),"The goal of this proposal is to develop a computational fluid dynamics (CFD) model of orally inhaled drug products that can account for drug product characteristics (aerodynamic particle size distribution, APSD) and physiological parameters (breathing pattern and airway geometry) on total and region",A mechanistic framework for a priori pharmacokinetic predictions of orally inhaled drugs,"The fate of orally inhaled drugs is determined by pulmonary pharmacokinetic (PK) processes such as particle deposition, pulmonary drug dissolution, and mucociliary clearance. Although each single process has been systematically investigated, a quantitative understanding on their interaction remains limited and hence identifying optimal drug and formulation characteristics for orally inhaled drugs is still challenging. To investigate this complex interplay, the pulmonary processes can be integrated into mathematical models. However, existing modeling attempts considerably simplify these processes or are not systematically evaluated against (clinical) data. In this work, we developed a mathematical framework based on physiologically-structured population equations to integrate all relevant pulmonary processes mechanistically. A tailored numerical resolution strategy was chosen and the mechanistic model was evaluated systematically against different clinical datasets. Without any parameter estimation based on individual study data, the developed model simultaneously predicted (1) lung retention profiles of inhaled insoluble particles, (2) particle size-dependent PK of inhaled monodisperse particles, (3) PK differences between inhaled fluticasone propionate and budesonide, and (4) PK differences between healthy volunteers and asthmatic patients. Finally, to identify the most impactful optimization criteria for orally inhaled drugs, we investigated the impact of input parameters on both pulmonary and systemic exposure. Solubility of the inhaled drug did not have any relevant impact on local and systemic PK. Instead, pulmonary dissolution rate, particle size, tissue affinity, and systemic clearance were impactful potential optimization parameters. In the future, the developed prediction framework should be considered a powerful tool to identify optimal drug and formulation characteristics.",
GS_002,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,high,2010,60697,1810.06911,0.298508,-2855,0,,,2010-12-22,2018-10-16,Cyber-Physical Systems,"The term ""cyber-physical systems"" refers to the tight conjoining of and coordination between computational and physical resources. We envision that the cyber-physical systems of tomorrow will far exceed those of today in terms of adaptability, autonomy, efficiency, functionality, reliability, safety","Cyber-Physical Systems, a new formal paradigm to model redundancy and resiliency","Cyber-Physical Systems (CPS) are systems composed by a physical component that is controlled or monitored by a cyber-component, a computer-based algorithm. Advances in CPS technologies and science are enabling capability, adaptability, scalability, resiliency, safety, security, and usability that will far exceed the simple embedded systems of today. CPS technologies are transforming the way people interact with engineered systems. New smart CPS are driving innovation in various sectors such as agriculture, energy, transportation, healthcare, and manufacturing. They are leading the 4-th Industrial Revolution (Industry 4.0) that is having benefits thanks to the high flexibility of production. The Industry 4.0 production paradigm is characterized by high intercommunicating properties of its production elements in all the manufacturing processes. This is the reason it is a core concept how the systems should be structurally optimized to have the adequate level of redundancy to be satisfactorily resilient. This goal can benefit from formal methods well known in various scientific domains such as artificial intelligence. So, the current research concerns the proposal of a CPS meta-model and its instantiation. In this way it lists all kind of relationships that may occur between the CPSs themselves and between their (cyber-and physical-) components. Using the CPS meta-model formalization, with an adaptation of the Formal Concept Analysis (FCA) formal approach, this paper presents a way to optimize the modelling of CPS systems emphasizing their redundancy and their resiliency.",
GS_003,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,high,2011,98315,2303.07789,0.276338,-4297,0,,,2011-06-08,2023-03-14,Studies in Neonatal Resuscitation (R21),"The purpose of this FOA is to stimulate research on a wide range of topics related to neonatal resuscitation. Possible topics may include, but are not limited to: fetal-neonatal transitional cardiovascular and pulmonary physiology, optimizing steps of resuscitation, management of third stage of labo",Activity Recognition From Newborn Resuscitation Videos,"Objective: Birth asphyxia is one of the leading causes of neonatal deaths. A key for survival is performing immediate and continuous quality newborn resuscitation. A dataset of recorded signals during newborn resuscitation, including videos, has been collected in Haydom, Tanzania, and the aim is to analyze the treatment and its effect on the newborn outcome. An important step is to generate timelines of relevant resuscitation activities, including ventilation, stimulation, suction, etc., during the resuscitation episodes. Methods: We propose a two-step deep neural network system, ORAA-net, utilizing low-quality video recordings of resuscitation episodes to do activity recognition during newborn resuscitation. The first step is to detect and track relevant objects using Convolutional Neural Networks (CNN) and post-processing, and the second step is to analyze the proposed activity regions from step 1 to do activity recognition using 3D CNNs. Results: The system recognized the activities newborn uncovered, stimulation, ventilation and suction with a mean precision of 77.67 %, a mean recall of 77,64 %, and a mean accuracy of 92.40 %. Moreover, the accuracy of the estimated number of Health Care Providers (HCPs) present during the resuscitation episodes was 68.32 %. Conclusion: The results indicate that the proposed CNN-based two-step ORAAnet could be used for object detection and activity recognition in noisy low-quality newborn resuscitation videos. Significance: A thorough analysis of the effect the different resuscitation activities have on the newborn outcome could potentially allow us to optimize treatment guidelines, training, debriefing, and local quality improvement in newborn resuscitation.",
GS_004,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,mid,2008,42244,q-bio/0606024,0.235694,752,1,,,2008-07-08,2006-06-17,Cooperative Agreement to Provide Technical Support for Mercury Reduction in Hospitals in Other Countries,The U.S. Environmental Protection Agency (EPA) is soliciting proposals from eligible parties to help reduce or eliminate mercury use in hospitals and health care clinics in other countries. The selected applicant will provide technical assistance to foreign governments (including local or provincial,Bistable equilibrium points of mercury body burden,"In the last century mercury levels in the global environment have tripled as a result of increased pollution from industrial, occupational, medicinal and domestic uses \cite{BaMe03}. Glutathione is known to be the main agent responsible for the excretion of mercury (we refer to \cite{Thim05}, \cite{ZalBar99} and \cite{Lyn02}). It has also been shown that mercury inhibits glutathione synthetase (an enzyme acting in the synthesization of Glutathione), therefore leading to decreased glutathione levels (we refer to \cite{Thim05}, \cite{GeGe05}, \cite{GeGe06} and \cite{RDeth04}). Mercury also interferes with the production of heme in the porphyrin pathway \cite{WoMaEc93}. Heme is needed for biological energy production and ability to detox organic toxins via the P450 enzymes \cite{Boy06}. The purpose of this paper is to show that body's response to mercury exposure is hysteretic, i.e. when this feedback of mercury on its main detoxifying agents is strong enough then mercury body burden has two points of equilibrium: one with normal abilities to detoxify and low levels of mercury and one with inhibited abilities to detoxify and high levels of mercury. Furthermore, a small increase of body's mercury burden may not be sufficient to trigger observable neurotoxic effects but it may be sufficient to act as a switch leading to an accumulation of mercury in the body through environmental exposure until its toxicity becomes manifest.",
GS_005,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,mid,2011,136294,1103.5954,0.170329,275,1,,,2011-12-30,2011-03-30,Suisun Bay Hydrodynamics: Interagency Ecological Progam (IEP) Fall X2 Study,"The Bureau of Reclamation (Reclamation) intends to issue a cooperative agreement to Stanford University under the authority of catalog for domestic assistance (CFDA) 15.512, Central Valley Project Improvement Act, Public Law 102-575, Section 3406(b)(1) and 3407(e). Estimated total amount of agreemen",Observations of Fallout from the Fukushima Reactor Accident in San Francisco Bay Area Rainwater,"We have observed fallout from the recent Fukushima Dai-ichi reactor accident in samples of rainwater collected in the San Francisco Bay area. Gamma ray spectra measured from these samples show clear evidence of fission products - 131,132I, 132Te, and 134,137Cs. The activity levels we have measured for these isotopes are very low and pose no health risk to the public.",
GS_006,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,low,2011,70333,1001.5007,0.1512,379,1,,,2011-02-10,2010-01-27,ROA: D.3 Unmanned Aircraft Systems Integration in the National Airspace System (UASNAS),"The National Aeronautics and Space Administration (NASA) Headquarters is releasing a NASA Research Announcement (NRA) for foundational and systems-level research in support of the Aeronautics Research Mission Directorate (ARMD). NNH10ZEA001N, entitled ""Research Opportunities in Aeronautics” will be ",Trajectory Clustering and an Application to Airspace Monitoring,"This paper presents a framework aimed at monitoring the behavior of aircraft in a given airspace. Nominal trajectories are determined and learned using data driven methods. Standard procedures are used by air traffic controllers (ATC) to guide aircraft, ensure the safety of the airspace, and to maximize the runway occupancy. Even though standard procedures are used by ATC, the control of the aircraft remains with the pilots, leading to a large variability in the flight patterns observed. Two methods to identify typical operations and their variability from recorded radar tracks are presented. This knowledge base is then used to monitor the conformance of current operations against operations previously identified as standard. A tool called AirTrajectoryMiner is presented, aiming at monitoring the instantaneous health of the airspace, in real time. The airspace is ""healthy"" when all aircraft are flying according to the nominal procedures. A measure of complexity is introduced, measuring the conformance of current flight to nominal flight patterns. When an aircraft does not conform, the complexity increases as more attention from ATC is required to ensure a safe separation between aircraft.",
GS_007,raw,raw,biomed,biomed,biomed,biomed,early_2008_2012,low,2010,55949,0711.1568,0.10073,982,1,,,2010-07-19,2007-11-10,Innovative Therapies and Tools for Screenable Disorders in Newborns (R21),"Purpose. This Funding Opportunity Announcement (FOA) issued by the Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD), the National Institute of Diabetes and Digestive and Kidney Disease (NIDDK) and National Institute on Deafness and Other Communication Disorders",A global view of drug-therapy interactions,"Network science is already making an impact on the study of complex systems and offers a promising variety of tools to understand their formation and evolution (1-4) in many disparate fields from large communication networks (5,6), transportation infrastructures (7) and social communities (8,9) to biological systems (1,10,11). Even though new highthroughput technologies have rapidly been generating large amounts of genomic data, drug design has not followed the same development, and it is still complicated and expensive to develop new single-target drugs. Nevertheless, recent approaches suggest that multi-target drug design combined with a network-dependent approach and large-scale systems-oriented strategies (12-14) create a promising framework to combat complex multigenetic disorders like cancer or diabetes. Here, we investigate the human network corresponding to the interactions between all US approved drugs and human therapies, defined by known drug-therapy relationships. Our results show that the key paths in this network are shorter than three steps, indicating that distant therapies are separated by a surprisingly low number of chemical compounds. We also identify a sub-network composed by drugs with high centrality measures (15), which represent the structural back-bone of the drug-therapy system and act as hubs routing information between distant parts of the network. These findings provide for the first time a global map of the largescale organization of all known drugs and associated therapies, bringing new insights on possible strategies for future drug development. Special attention should be given to drugs which combine the two properties of (a) having a high centrality value and (b) acting on multiple targets.",
GS_008,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,high,2016,281308,2101.12246,0.45521,-1821,0,,,2016-02-03,2021-01-28,The National Syndromic Surveillance Program: Enhancing Syndromic Surveillance Capacity and Practice,The National Syndromic Surveillance Program: Enhancing Syndromic Surveillance Capacity and Practice,Revisiting Non-Specific Syndromic Surveillance,"Infectious disease surveillance is of great importance for the prevention of major outbreaks. Syndromic surveillance aims at developing algorithms which can detect outbreaks as early as possible by monitoring data sources which allow to capture the occurrences of a certain disease. Recent research mainly focuses on the surveillance of specific, known diseases, putting the focus on the definition of the disease pattern under surveillance. Until now, only little effort has been devoted to what we call non-specific syndromic surveillance, i.e., the use of all available data for detecting any kind of outbreaks, including infectious diseases which are unknown beforehand. In this work, we revisit published approaches for non-specific syndromic surveillance and present a set of simple statistical modeling techniques which can serve as benchmarks for more elaborate machine learning approaches. Our experimental comparison on established synthetic data and real data in which we injected synthetic outbreaks shows that these benchmarks already achieve very competitive results and often outperform more elaborate algorithms.",
GS_009,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,high,2014,250859,physics/0508044,0.239051,3103,1,,,2014-02-04,2005-08-07,Revision Applications for Research on Metabolic Reprogramming to Improve Immunotherapy (R01),This Funding Opportunity Announcement (FOA) invites research project grant (R01) revision applications from investigators with active NIH R01 research project grant awards to support an expansion of the scope of the funded R01 project grant awards through the addition of one or more new specific aim,Noise-induced first-order transition in anti-tumor immunotherapy,We studied the single-variable dynamics model of the tumor growth. A first-order phase transition induced by an additive noise is shown to reproduce the main features of tumor growth under immune surveillance. The critical average cells population has a power-law function relationship with the immune coefficient.,
GS_010,raw,raw,biomed,biomed,biomed,biomed,mid_2013_2018,high,2017,296014,1407.4116,0.203617,1111,1,,,2017-07-31,2014-07-16,Bison Partnership: Genetic Conservation Initiative- WICA,"BACKGROUND AND OBJECTIVES This Cooperative Agreement P17AC01030 (Agreement) is entered into by the U.S. Department of the Interior, National Park Service (NPS), and Texas A&M University, Agrilife Research (Recipient). The objective of this Agreement is to develop a long-term genetic conservation ini",Mitochondrial Genomes of Domestic Animals Need Scrutiny,"More than 1000 complete or near-complete mitochondrial DNA (mtDNA) sequences have been deposited in GenBank for eight common domestic animals (i.e. cattle, dog, goat, horse, pig, sheep, yak and chicken) and their close wild ancestors or relatives. Nevertheless, few efforts have been performed to evaluate the sequence data quality, which heavily impact the original conclusion. Herein, we conducted a phylogenetic survey of these complete or near-complete mtDNA sequences based on mtDNA haplogroup trees for the eight animals. We show that, errors due to artificial recombination, surplus of mutations, and phantom mutations, do exist in 14.5% (194/1342) of mtDNA sequences and shall be treated with wide caution. We propose some caveats for mtDNA studies of domestic animals in the future.",
