review_id,domain,opportunity_id,opportunity_title,grant_description,raw_arxiv_id,raw_paper_title,arxiv_abstract,raw_similarity,raw_lag_days,lang_arxiv_id,lang_paper_title,lang_similarity,lang_lag_days,tw36_arxiv_id,tw36_paper_title,tw36_similarity,tw36_lag_days,dup_arxiv_id,dup_paper_title,dup_similarity,dup_lag_days,keep_for_eval_bool,overall_label,error_type,review_notes
BIOMED_01,biomed,355954,Suivi communautaire des Programmes et Politiques li&#233;s au VIH,"Le maintien en vie des personnes vivant avec le VIH (PVVIH) sous traitement antirétroviral (ARV) reste un défi pour atteindre les objectifs 95-95-95 de l'ONUSIDA.L'initiative de Suivi Communautaire/The Community-Led Monitoring (CLM) vise à aider les programmes et les établissements du Plan d'urgence du Président des États-Unis d'Amérique pour la lutte contre le SIDA (U.S. President's Emergency Plan for AIDS Relief PEPFAR) à s'assurer qu'ils fournissent des services de qualité que les bénéficiaires souhaitent utiliser en collaboration avec les organisations communautaires et leurs pairs navigateurs. La collaboration avec les groupes communautaires, les organisations de la société civile et les patients/bénéficiaires peut aider les programmes de lutte contre le VIH et les institutions de santé à identifier les obstacles et les leviers pour faciliter l'accès et l'utilisation des services de lutte contre le VIH et à améliorer la rétention.",1106.2206,"Nanomaterials : a review of the definitions, applications, health effects. How to implement secure development Nanomat\'eriaux : une revue des d\'efinitions, des applications, des effets sanitaires et des moyens \`a mettre en oeuvre pour un d\'eveloppement s\'ecuris\'e","Nanomaterials are an active area of research but also an economic sector in full expansion which addresses many applications domains. For instance, french production for the most common nanomaterials (such as silica, titanium dioxide, carbon black) is in the hundreds of thousands of tons. As for any innovation, one must consider the risks and, if necessary, establish rules to protect consumer health and that of the worker. This paper addresses in particular difficulties in defining these materials, the state of knowledge on human or environmental toxicity and requirements and agencies in charge of safety.---Les nanomat\'eriaux repr\'esentent un domaine de recherche actif mais aussi un secteur \'economique en pleine expansion en vue de nombreuses applications. Par exemple la production fran\c{c}aise pour les mat\'eriaux les plus courants (comme la silice, le dioxyde de titane, le noir de carbone) se chiffre en centaines de milliers de tonnes. Comme c'est le cas pour toute innovation, il convient de s'interroger sur les risques et, si n\'ecessaire, de fixer des r\`egles pour prot\'eger la sant\'e du consommateur et celle du travailleur. On discute en particulier les difficult\'es pour d\'efinir ces mat\'eriaux, de l'\'etat des connaissances en mati\`ere de toxicit\'e humaine ou environnementale et des prescriptions des agences en mati\`ere de s\'ecurit\'e.",0.538752,4807,,,,,2303.13590,Une comparaison des algorithmes d'apprentissage pour la survie avec donn\'ees manquantes,0.448627,504,1106.2206,"Nanomaterials : a review of the definitions, applications, health effects. How to implement secure development Nanomat\'eriaux : une revue des d\'efinitions, des applications, des effets sanitaires et des moyens \`a mettre en oeuvre pour un d\'eveloppement s\'ecuris\'e",0.538752,4807,False,Not Related at all,language gap  mismatching,"This is something that is completely mis-matching, with language complete different, and I would say the realms of these two texts are completely different, one is about HIV, another is about chemistry engineering."
BIOMED_02,biomed,344521,Supporting the use of Real-World Data to Generate Real-World Evidence in Regulatory Decision-Making (U01) Clinical Trials Optional,The purpose of this Funding Opportunity Announcement (FOA) is to address topics related to FDA's Real-World Evidence (RWE) Program and to enable FDA to assess the potential utility of real-world data (RWD) in generating RWE.,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,"Real-world data (RWD) and real-world evidence (RWE) have been increasingly used in medical product development and regulatory decision-making, especially for rare diseases. After outlining the challenges and possible strategies to address the challenges in rare disease drug development (see the accompanying paper), the Real-World Evidence (RWE) Scientific Working Group of the American Statistical Association Biopharmaceutical Section reviews the roles of RWD and RWE in clinical trials for drugs treating rare diseases. This paper summarizes relevant guidance documents and frameworks by selected regulatory agencies and the current practice on the use of RWD and RWE in natural history studies and the design, conduct, and analysis of rare disease clinical trials. A targeted learning roadmap for rare disease trials is described, followed by case studies on the use of RWD and RWE to support a natural history study and marketing applications in various settings.",0.525868,-666,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.525864,-666,2205.08643,Targeted learning: Towards a future informed by real-world evidence,0.36409,210,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.525868,-666,True,Strong Relavance,scope_mismatch," in topic, but paper more in a specific angle, more detailed granulation， but fine enough"
BIOMED_03,biomed,326652,Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R01 Clinical Trial Not Allowed),The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited (rapid) funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19).,2103.02723,Identification and Development of Therapeutics for COVID-19,"After emerging in China in late 2019, the novel Severe acute respiratory syndrome-like coronavirus 2 (SARS-CoV-2) spread worldwide and as of early 2021, continues to significantly impact most countries. Only a small number of coronaviruses are known to infect humans, and only two are associated with the severe outcomes associated with SARS-CoV-2: Severe acute respiratory syndrome-related coronavirus, a closely related species of SARS-CoV-2 that emerged in 2002, and Middle East respiratory syndrome-related coronavirus, which emerged in 2012. Both of these previous epidemics were controlled fairly rapidly through public health measures, and no vaccines or robust therapeutic interventions were identified. However, previous insights into the immune response to coronaviruses gained during the outbreaks of severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) have proved beneficial to identifying approaches to the treatment and prophylaxis of novel coronavirus disease 2019 (COVID-19). A number of potential therapeutics against SARS-CoV-2 and the resultant COVID-19 illness were rapidly identified, leading to a large number of clinical trials investigating a variety of possible therapeutic approaches being initiated early on in the pandemic. As a result, a small number of therapeutics have already been authorized by regulatory agencies such as the Food and Drug Administration (FDA) in the United States, and many other therapeutics remain under investigation. Here, we describe a range of approaches for the treatment of COVID-19, along with their proposed mechanisms of action and the current status of clinical investigation into each candidate. The status of these investigations will continue to evolve, and this review will be updated as progress is made.",0.496494,-307,2103.02723,Identification and Development of Therapeutics for COVID-19,0.49649,-307,2004.14114,"Decoding SARS-CoV-2 transmission, evolution and ramification on COVID-19 diagnosis, vaccine, and medicine",0.39057,1,2103.02723,Identification and Development of Therapeutics for COVID-19,0.496494,-307,True,strong relavance,review later than grant,"Fine enough as a review paper, but if a novel research, not temporally right."
BIOMED_04,biomed,326664,Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R21 Clinical Trial Not Allowed),The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited (rapid) funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19).,2103.02723,Identification and Development of Therapeutics for COVID-19,"After emerging in China in late 2019, the novel Severe acute respiratory syndrome-like coronavirus 2 (SARS-CoV-2) spread worldwide and as of early 2021, continues to significantly impact most countries. Only a small number of coronaviruses are known to infect humans, and only two are associated with the severe outcomes associated with SARS-CoV-2: Severe acute respiratory syndrome-related coronavirus, a closely related species of SARS-CoV-2 that emerged in 2002, and Middle East respiratory syndrome-related coronavirus, which emerged in 2012. Both of these previous epidemics were controlled fairly rapidly through public health measures, and no vaccines or robust therapeutic interventions were identified. However, previous insights into the immune response to coronaviruses gained during the outbreaks of severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS) have proved beneficial to identifying approaches to the treatment and prophylaxis of novel coronavirus disease 2019 (COVID-19). A number of potential therapeutics against SARS-CoV-2 and the resultant COVID-19 illness were rapidly identified, leading to a large number of clinical trials investigating a variety of possible therapeutic approaches being initiated early on in the pandemic. As a result, a small number of therapeutics have already been authorized by regulatory agencies such as the Food and Drug Administration (FDA) in the United States, and many other therapeutics remain under investigation. Here, we describe a range of approaches for the treatment of COVID-19, along with their proposed mechanisms of action and the current status of clinical investigation into each candidate. The status of these investigations will continue to evolve, and this review will be updated as progress is made.",0.495472,-307,2103.02723,Identification and Development of Therapeutics for COVID-19,0.495469,-307,2004.14114,"Decoding SARS-CoV-2 transmission, evolution and ramification on COVID-19 diagnosis, vaccine, and medicine",0.389765,1,2103.02723,Identification and Development of Therapeutics for COVID-19,0.495472,-307,False,strong relavance,repeat_error,REPEATTED
BIOMED_05,biomed,257130,Polycystic Kidney Disease (PKD) Research and Translation Core Centers (P30),This Funding Opportunity Announcement (FOA) invites applications for Polycystic Kidney Disease (PKD) Research and Translation Core Centers to support both basic and clinical research on PKD.,2309.03033,Deep Learning for Polycystic Kidney Disease: Utilizing Neural Networks for Accurate and Early Detection through Gene Expression Analysis,"With Polycystic Kidney Disease (PKD) potentially leading to fatal complications in patients due to the formation of cysts in kidneys, early detection of PKD is crucial for effective management of the condition. However, the various patient-specific factors that play a role in the diagnosis make it an intricate puzzle for clinicians to solve, leading to possible kidney failure. Therefore, in this study we aim to utilize a deep learning-based approach for early disease detection through gene expression analysis. The devised neural network is able to achieve accurate and robust prediction results for possible PKD in kidneys, thereby improving patient outcomes. Furthermore, by conducting a gene ontology analysis, we were able to predict the top gene processes and functions that PKD may affect.",0.489572,-3375,2309.03033,Deep Learning for Polycystic Kidney Disease: Utilizing Neural Networks for Accurate and Early Detection through Gene Expression Analysis,0.489562,-3375,1402.3502,A potential biomarker of androgen exposure in European bullhead (Cottus sp.) kidney,0.082111,116,2309.03033,Deep Learning for Polycystic Kidney Disease: Utilizing Neural Networks for Accurate and Early Detection through Gene Expression Analysis,0.489572,-3375,True,weak relavance,temporal_mismatch,"Only have the same desease, not granulationaly or detaily match. and Time span alittle bit too long"
BIOMED_06,biomed,324928,Exploring the use of Real-World Data to Generate Real-World Evidence in Regulatory Decision-Making (U01) Clinical Trials Optional,"To support research projects that examine real-world data (RWD), real-world evidence (RWE), and related issues such as data analytics, the use of digital health tools, and innovative trial designs utilizing healthcare settings",2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,"Real-world data (RWD) and real-world evidence (RWE) have been increasingly used in medical product development and regulatory decision-making, especially for rare diseases. After outlining the challenges and possible strategies to address the challenges in rare disease drug development (see the accompanying paper), the Real-World Evidence (RWE) Scientific Working Group of the American Statistical Association Biopharmaceutical Section reviews the roles of RWD and RWE in clinical trials for drugs treating rare diseases. This paper summarizes relevant guidance documents and frameworks by selected regulatory agencies and the current practice on the use of RWD and RWE in natural history studies and the design, conduct, and analysis of rare disease clinical trials. A targeted learning roadmap for rare disease trials is described, followed by case studies on the use of RWD and RWE to support a natural history study and marketing applications in various settings.",0.486366,-1233,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.486352,-1233,2101.08904,Applications of artificial intelligence in drug development using real-world data,0.368599,123,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.486366,-1233,True,Strong Relavance,duplicate_candidate,"though it is matching the most frequent review paper, in this topic, but a little bit too dubplicated"
BIOMED_07,biomed,325478,Exploring the use of Real-World Data to Generate Real-World Evidence in Regulatory Decision-Making (U01) Clinical Trials Optional,"The purpose of this Funding Opportunity Announcement (FOA) is to support research projects that examine real-world data (RWD), real-world evidence (RWE), and related issues such as data analytics, the use of digital health tools, and innovative trial designs utilizing healthcare settings.",2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,"Real-world data (RWD) and real-world evidence (RWE) have been increasingly used in medical product development and regulatory decision-making, especially for rare diseases. After outlining the challenges and possible strategies to address the challenges in rare disease drug development (see the accompanying paper), the Real-World Evidence (RWE) Scientific Working Group of the American Statistical Association Biopharmaceutical Section reviews the roles of RWD and RWE in clinical trials for drugs treating rare diseases. This paper summarizes relevant guidance documents and frameworks by selected regulatory agencies and the current practice on the use of RWD and RWE in natural history studies and the design, conduct, and analysis of rare disease clinical trials. A targeted learning roadmap for rare disease trials is described, followed by case studies on the use of RWD and RWE to support a natural history study and marketing applications in various settings.",0.472527,-1668,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.472515,-1668,1805.06839,Methods for the inclusion of real world evidence in network meta-analysis,0.242056,669,2410.06586,Use of Real-World Data and Real-World Evidence in Rare Disease Drug Development: A Statistical Perspective,0.472527,-1668,True,Strong Relavance,duplicate_candidate,"though it is matching the most frequent review paper, in this topic, but a little bit too dubplicated"
BIOMED_08,biomed,339641,RFI - HIV Care and Treatment,"The United States Government, represented by the Agency for International Development (USAID) in Guatemala is conducting this Request for Information (RFI) to identify local organizations in the Central America Region who possess the capabilities to implement the HIV Care and Treatment Project. El Gobierno de los Estados Unidos, representado por la Agencia para el Desarrollo Internacional (USAID) en Guatemala, está realizando esta Solicitud de Información (RFI) para identificar organizaciones locales en la Región de América Central que posean las capacidades para implementar el Proyecto de Atención y Tratamiento del VIH.",2012.03188,Representaciones del aprendizaje reutilizando los gradientes de la retropropagacion,"This work proposes an algorithm for taking advantage of backpropagation gradients to determine feature importance at different stages of training. Additionally, we propose a way to represent the learning process qualitatively. Experiments were performed over the Wisconsin cancer dataset provided by sklearn, and results showed an interesting convergence of the so called ""learning gradients"" towards the most important features. --- Este trabajo propone el algoritmo de gradientes de aprendizaje para encontrar significado en las entradas de una red neuronal. Ademas, se propone una manera de evaluarlas por orden de importancia y representar el proceso de aprendizaje a traves de las etapas de entrenamiento. Los resultados obtenidos utilizan como referencia el conjunto de datos acerca de tumores malignos y benignos en Wisconsin. Esta referencia sirvio para detectar un patron en las variables mas importantes del modelo gracias, asi como su evolucion temporal.",0.457753,500,,,,,2012.03188,Representaciones del aprendizaje reutilizando los gradientes de la retropropagacion,0.457753,500,2012.03188,Representaciones del aprendizaje reutilizando los gradientes de la retropropagacion,0.457753,500,False,Not Related at all,domain_mismatch,Grant is about HIV care and treatment; paper is a machine-learning piece in Spanish on reusing backpropagation gradients. The overlap is basically zero apart from both being technical texts.
BIOMED_09,biomed,281308,The National Syndromic Surveillance Program: Enhancing Syndromic Surveillance Capacity and Practice,The National Syndromic Surveillance Program: Enhancing Syndromic Surveillance Capacity and Practice,2101.12246,Revisiting Non-Specific Syndromic Surveillance,"Infectious disease surveillance is of great importance for the prevention of major outbreaks. Syndromic surveillance aims at developing algorithms which can detect outbreaks as early as possible by monitoring data sources which allow to capture the occurrences of a certain disease. Recent research mainly focuses on the surveillance of specific, known diseases, putting the focus on the definition of the disease pattern under surveillance. Until now, only little effort has been devoted to what we call non-specific syndromic surveillance, i.e., the use of all available data for detecting any kind of outbreaks, including infectious diseases which are unknown beforehand. In this work, we revisit published approaches for non-specific syndromic surveillance and present a set of simple statistical modeling techniques which can serve as benchmarks for more elaborate machine learning approaches. Our experimental comparison on established synthetic data and real data in which we injected synthetic outbreaks shows that these benchmarks already achieve very competitive results and often outperform more elaborate algorithms.",0.45521,-1821,2101.12246,Revisiting Non-Specific Syndromic Surveillance,0.455266,-1821,1501.04732,Strabismic syndromes and syndromic strabismus - a brief review,0.303808,379,2101.12246,Revisiting Non-Specific Syndromic Surveillance,0.45521,-1821,True,Strong Relavance,none,"Both texts live in syndromic surveillance. The grant is about strengthening surveillance capacity, while the paper rethinks non-specific syndromic surveillance methods, so the fit is real even if the paper is more methodological and later."
BIOMED_10,biomed,271457,Analyze and Evaluate Potential Risk Factors for Amyotrophic Lateral Sclerosis (ALS),"The purpose of this funding opportunity announcement (FOA) is to allow for investigator-initiated research that will further the understanding of potential risk factors for amyotrophic lateral sclerosis (ALS), while supporting the goals of the National ALS Registry.",2406.18625,Automatic Prediction of Amyotrophic Lateral Sclerosis Progression using Longitudinal Speech Transformer,"Automatic prediction of amyotrophic lateral sclerosis (ALS) disease progression provides a more efficient and objective alternative than manual approaches. We propose ALS longitudinal speech transformer (ALST), a neural network-based automatic predictor of ALS disease progression from longitudinal speech recordings of ALS patients. By taking advantage of high-quality pretrained speech features and longitudinal information in the recordings, our best model achieves 91.0\% AUC, improving upon the previous best model by 5.6\% relative on the ALS TDI dataset. Careful analysis reveals that ALST is capable of fine-grained and interpretable predictions of ALS progression, especially for distinguishing between rarer and more severe cases. Code is publicly available.",0.451131,-3451,2406.18625,Automatic Prediction of Amyotrophic Lateral Sclerosis Progression using Longitudinal Speech Transformer,0.451134,-3451,1401.0697,"Time series analysis of Parkinson's disease, Huntington's disease and Amyotrophic Lateral Sclerosis",0.317729,379,2406.18625,Automatic Prediction of Amyotrophic Lateral Sclerosis Progression using Longitudinal Speech Transformer,0.451131,-3451,True,partial relavance,scope_mismatch,"Clear ALS overlap, but the grant asks about potential risk factors whereas the paper predicts disease progression from speech. Same disease, different scientific question."
